SPL Name;Operator;Coverage Type;Products;Total Mutants sum;Equivalent sum;Killed sum;Survived sum;Pooled Mutation Score(%)
eMail;StateMissing;family-baseline;23;170;0;164;6;96,4706
eMail;TransitionDestinationExchange;family-baseline;23;1046;293;448;305;59,4954
eMail;TransitionMissing;family-baseline;23;361;0;238;123;65,9280
eMail;ActionExchange;pair;23;1134;0;1134;0;100,0000
eMail;StateMissing;pair;23;170;0;170;0;100,0000
eMail;TransitionDestinationExchange;pair;23;1046;293;737;16;97,8752
eMail;TransitionMissing;pair;23;361;0;361;0;100,0000
eMail;ActionExchange;state;23;1134;0;737;397;64,9912
eMail;StateMissing;state;23;170;0;170;0;100,0000
eMail;TransitionDestinationExchange;state;23;1046;293;400;353;53,1208
eMail;TransitionMissing;state;23;361;0;202;159;55,9557
eMail;ActionExchange;transition;23;1134;0;1134;0;100,0000
eMail;StateMissing;transition;23;170;0;170;0;100,0000
eMail;TransitionDestinationExchange;transition;23;1046;293;672;81;89,2430
eMail;TransitionMissing;transition;23;361;0;361;0;100,0000
